State,County,Democratic,Republican,Party
TX,karnes,-742.2702016915246,3078.248374207378,0
TX,kaufman,14256.877553590786,18936.084195798332,0
TX,kendall,12292.44207091989,9240.055683199978,0
TX,kenedy,536.1514274018555,1370.7079878974728,0
TX,kent,678.2806912418564,1454.4386280671642,0
TX,kerr,10012.439910592253,10301.806491922238,0
TX,king,605.574520659291,1410.716188629638,0
TX,knox,874.9432203089636,1882.9556929691207,0
TX,la salle,-116.56322365755113,1620.501308126244,1
TX,lamar,6357.3010505444145,9170.204036637304,0
TX,lamb,1266.5638567708338,2712.930724178357,0
TX,lampasas,3510.2746638113786,5385.337168248017,0
TX,lavaca,2685.5335282826018,4480.8680792424075,0
TX,leon,2283.1576333252924,4200.368678724604,0
TX,liberty,2952.2437663297824,10256.500771801722,0
TX,limestone,1713.4184388888716,3928.7177520406112,1
TX,lipscomb,712.9557667651934,1889.5963361816139,0
TX,live oak,283.6359755200174,3132.527109525967,0
TX,llano,4413.839402274181,4821.245425320663,0
TX,loving,569.1924227954696,1381.989433435032,0
TX,lubbock,52264.576655579745,46463.6063016931,0
TX,lynn,943.3370116158767,2113.2176679879303,0
TX,marion,1251.4965585508617,2499.397930654315,0
TX,maverick,-1263.4903040858771,1664.5818400993267,1
TX,mcculloch,1068.1083852852498,2422.0496831998535,0
TX,mclennan,34645.350315344636,35197.9191158598,0
TX,mcmullen,587.1579236112229,1479.239503288998,0
TX,medina,3761.910528599972,8947.07071248473,0
TX,midland,23580.310435966814,24091.837951946924,0
TX,milam,2427.9899992514474,4700.1770195193985,0
TX,mills,1377.8267276391489,2153.448882349345,0
TX,mitchell,-505.9341376344928,2283.1794092976925,0
TX,montague,2421.2216889114316,4619.636267687649,0
TX,montgomery,114835.02855640213,85064.2304613177,0
TX,moore,252.72595970452676,2133.6058993114275,0
TX,morris,2101.0699817202403,3279.5110484608267,0
TX,nacogdoches,11700.0038122623,8472.312875005086,0
TX,navarro,4047.5662504023785,6249.403636800187,0
TX,nolan,1192.2695380210935,3567.362372835403,0
TX,nueces,36469.272357221926,52875.53655901252,1
TX,palo pinto,3219.5444868553896,5984.394216629251,0
TX,parker,23801.789973753705,25442.50472575611,0
TX,pecos,-1078.3070539917026,2525.7746399050266,0
TX,polk,943.6195354828378,7902.556716105037,0
TX,potter,4265.68860373411,14711.101068457807,0
TX,randall,28777.498004774447,27046.926817655007,0
TX,reagan,450.04633341687804,1712.345139037061,0
TX,real,1100.4620283066797,1841.4274661572854,0
